cod_postal,lat,lon,town
04880,37.3461,-2.4333,"Porteros, Los (Tijola)"
04887,37.40083,-2.47123,Lucar
04888,37.34025,-2.42355,Bayarque
04889,37.30565,-2.45145,Dali
04890,37.3449,-2.5091,Seron
04897,37.35109,-2.65671,Angosto De Abajo
04898,37.397,-2.59357,Ramil Bajo
04899,37.40875,-2.55145,Los Zoilos
05001,40.6572,-4.6995,Avila
05002,40.6572,-4.6995,Avila
05003,40.6572,-4.6995,Avila
05004,40.6572,-4.6995,Avila
05005,40.6572,-4.6995,Avila
05070,40.6572,-4.6995,Avila
05071,40.6572,-4.6995,Avila
05080,40.6572,-4.6995,Avila
05100,40.4108,-4.7062,Navaluenga
05110,40.4766,-4.6436,El Barraco
05111,40.4788,-4.6824,San Juan De La Nava
05112,40.3983,-4.8182,Calas Del Burguillo
05113,40.4133,-4.7848,Burgohondo
05114,40.3983,-4.8182,Villanueva De Avila
05115,40.35035,-4.90295,Navarrevisca
05120,40.46136,-4.81532,Navandrinal
05122,40.4206,-4.8913,Navatalgordo
05123,40.40045,-4.953,Hoyocasero
05130,40.54568,-4.91672,Baterna
05131,40.5239,-4.9867,Narros Del Puerto
05132,40.40815,-5.05467,San Martin Del Pimpollar
05133,40.4305,-5.155,San Martin De La Vega Alberche
05134,40.43817,-5.03923,Garganta Del Villar
05140,40.68432,-4.82,Martiherrero
05141,40.68788,-4.93338,Gallegos De Altamiros
05143,40.66925,-5.00895,Pasarilla Del Rebollar
05145,40.67594,-5.05038,San Juan Del Olmo
05146,40.80125,-5.07304,Mirueña De Los Infanzones
05147,40.7045,-5.11116,Hurtumpascual
05148,40.7156,-5.2096,Cabezas Del Villar
05149,40.7228,-4.99645,Cillan
05150,40.6634,-5.28285,San Miguel De Serrezuela
